# Gini coefficients for pre-tax national income (P0-100) for adults (equal split)
Percentile;Year;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
p0p100;2012;0.5840000000000001;0.4448;0.4667;0.5531;0.4845;0.5065000000000001;0.6782;0.5468000000000001;0.7372000000000001;0.5993;0.5338;0.5482;0.525
p0p100;2013;0.5773;0.4415;0.4846;0.5621;0.4995;0.509;0.6709;0.5609000000000001;0.7379;0.6009;0.5256000000000001;0.553;0.5261
p0p100;2014;0.5841000000000001;0.4404;0.4856;0.5546;0.4794;0.5086;0.6732;0.5439;0.7386;0.607;0.5258;0.5576;0.5272
p0p100;2015;0.5831000000000001;0.4501;0.4843;0.5555;0.4691;0.51;0.6817000000000001;0.5407000000000001;0.7386;0.6118;0.5396000000000001;0.5622;0.5283
p0p100;2016;0.5851000000000001;0.4486;0.4803;0.5497000000000001;0.4673;0.5091;0.6848000000000001;0.5433;0.7386;0.6228;0.5264;0.5563;0.5274
p0p100;2017;0.5805;0.4504;0.4775;0.5574;0.4659;0.5086;0.6822;0.5397000000000001;0.7386;0.6271;0.5185000000000001;0.5507000000000001;0.5265000000000001
p0p100;2018;0.5836;0.456;0.4748;0.5552;0.467;0.5086;0.681;0.5465;0.7386;0.6172000000000001;0.5784;0.5511;0.5256000000000001
p0p100;2019;0.5805;0.4532;0.4722;0.5539000000000001;0.4649;0.5086;0.6722;0.5475;0.7386;0.612;0.5784;0.5515;0.5256000000000001
p0p100;2020;0.5739000000000001;0.4513;0.4709;0.5602;0.4708;0.5086;0.7018;0.5820000000000001;0.7386;0.5992000000000001;0.5784;0.5362;0.5256000000000001
p0p100;2021;0.5831000000000001;0.4597;0.4709;0.5613;0.4708;0.5086;0.6985;0.5820000000000001;0.7386;0.6012000000000001;0.5784;0.5362;0.5256000000000001
p0p100;2022;0.5883;0.4564;0.4709;0.5644;0.4708;0.5086;0.6918000000000001;0.5820000000000001;0.7386;0.6089;0.5784;0.5362;0.5256000000000001
p0p100;2023;0.5869;0.4564;0.4709;0.5644;0.4708;0.5086;0.6918000000000001;0.5820000000000001;0.7386;0.6089;0.5784;0.5362;0.5256000000000001
